"ПН","08:30-09:50","1-223","Мови програмування","0","Глибовець М. ","2-15"
"ПН","08:30-09:50","КМЦ-4","Застосування принципів Болонського процесу в НаУКМА","0","Брюховецький В. С. ","1"
"ПН","10:00-11:20","КМЦ-4","Застосування принципів Болонського процесу в НаУКМА","0","Брюховецький В. С. ","1"
"ПН","10:00-11:20","6-202","Англійська мова","34","Фіногіна Т. ","2-15"
"ПН","10:00-11:20","6-3","Англійська мова","35","Буреніна Т. ","2-15"
"ПН","10:00-11:20","4-313","Англійська мова","36","Ратушна Л. ","2-15"
"ПН","10:00-11:20","8-6","Англійська мова","37","Малайок Ю. ","2-15"
"ПН","10:00-11:20","8-7","Англійська мова","38","Харченко О. ","2-15"
"ПН","11:40-13:00","1-306","Мови програмування","1","Тригуб О. ","2-15"
"ПН","11:40-13:00","1-307","Мови програмування","5","Франчук О. ","2-15"
"ПН","13:30-14:50","1-306","Мови програмування","2","Тригуб О. ","1-15"
"ПН","13:30-14:50","1-307","Мови програмування","4","Франчук О. ","1-15"
"ПН","15:00-16:20","1-306","Мови програмування","3","Тригуб О. ","1-15"
"ПН","16:30-17:50","1-223","Застосування принципів Болонського процесу в НаУКМА","1","Викладач ","2"
"ПН","16:30-17:50","1-223","Застосування принципів Болонського процесу в НаУКМА","1","Викладач ","3"
"ВТ","11:40-13:00","1-225","Основи матаналізу","0","Захарійченко Ю. ","1-15"
"ВТ","13:30-14:50","1-225","Основи матаналізу","1","Захарійченко Ю. ","1-15"
"ВТ","13:30-14:50","1-223","Основи матаналізу","2","Митник Ю. ","1-15"
"ВТ","15:00-16:20","Староакадемічний-1","Застосування принципів Болонського процесу в НаУКМА","2","Викладач ","1"
"ВТ","15:00-16:20","4-0Американська","Застосування принципів Болонського процесу в НаУКМА","2","Викладач ","2"
"ВТ","15:00-16:20","Бібліотека-23","Застосування принципів Болонського процесу в НаУКМА","2","Викладач ","3,4"
"ВТ","16:30-17:50","1-223","Застосування принципів Болонського процесу в НаУКМА","2","Викладач ","2"
"ВТ","16:30-17:50","1-223","Застосування принципів Болонського процесу в НаУКМА","2","Викладач ","3"
"СР","08:30-09:50","1-313","Основи дискретної математики","0","Крюкова Г. ","1-15"
"СР","10:00-11:20","3-302","Основи дискретної математики","1","Крюкова Г. ","1-15"
"СР","10:00-11:20","1-225","Основи дискретної математики","2","Лебідь В. ","1-15"
"СР","11:40-13:00","1-306","Мови програмування","1","Тригуб О. ","1-15"
"СР","11:40-13:00","1-307","Мови програмування","5","Франчук О. ","1-15"
"СР","13:30-14:50","Староакадемічний-1","Застосування принципів Болонського процесу в НаУКМА","3","Викладач ","1"
"СР","13:30-14:50","4-0Американська","Застосування принципів Болонського процесу в НаУКМА","3","Викладач ","2"
"СР","13:30-14:50","Бібліотека-23","Застосування принципів Болонського процесу в НаУКМА","3","Викладач ","3,4"
"СР","15:00-16:20","1-223","Застосування принципів Болонського процесу в НаУКМА","3","Викладач ","2"
"СР","13:30-14:50","1-306","Мови програмування","2","Тригуб О. ","1-15"
"СР","13:30-14:50","1-307","Мови програмування","4","Франчук О. ","1-15"
"СР","15:00-16:20","1-306","Мови програмування","3","Тригуб О. ","1-15"
"ЧТ","08:30-09:50","3-302","Основи дискретної математики","1","Крюкова Г. ","1-15"
"ЧТ","08:30-09:50","1-225","Основи дискретної математики","2","Лебідь В. ","1-15"
"ЧТ","11:40-13:00","1-309","Методи та засоби комп’ютерних технологій","1","Тригуб О. ","1-15"
"ЧТ","13:30-14:50","1-309","Методи та засоби комп’ютерних технологій","3","Тригуб О. ","1-15"
"ЧТ","13:30-14:50","1-307","Методи та засоби комп’ютерних технологій","5","Франчук О. ","1-15"
"ЧТ","13:30-14:50","3-220а","Застосування принципів Болонського процесу в НаУКМА","3","Викладач ","1"
"ЧТ","13:30-14:50","8-6","Українська мова","5","Кобиринка Г. ","2-13"
"ЧТ","15:00-16:20","3-220а","Українська мова","6","Кобиринка Г. ","2-13"
"ЧТ","15:00-16:20","1-309","Методи та засоби комп’ютерних технологій","2","Тригуб О. ","1-15"
"ЧТ","15:00-16:20","1-307","Методи та засоби комп’ютерних технологій","4","Франчук О. ","1-15"
"ЧТ","16:30-17:50","Староакадемічний-1","Застосування принципів Болонського процесу в НаУКМА","1","Викладач ","1"
"ЧТ","16:30-17:50","4-0Американська","Застосування принципів Болонського процесу в НаУКМА","1","Викладач ","2"
"ЧТ","16:30-17:50","Бібліотека-23","Застосування принципів Болонського процесу в НаУКМА","1","Викладач ","3,4"
"ПТ","08:30-09:50","1-225","Мови програмування","0","Глибовець М. ","4"
"ПТ","08:30-09:50","1-225","Українська мова","0","Кобиринка Г. ","1-3"
"ПТ","10:00-11:20","6-202","Англійська мова","34","Фіногіна Т. ","1-14"
"ПТ","10:00-11:20","6-3","Англійська мова","35","Буреніна Т. ","1-14"
"ПТ","10:00-11:20","4-313","Англійська мова","36","Ратушна Л. ","1-14"
"ПТ","10:00-11:20","8-6","Англійська мова","37","Малайок Ю. ","1-14"
"ПТ","10:00-11:20","8-7","Англійська мова","38","Харченко О. ","1-14"
"ПТ","11:40-13:00","3-220а","Українська мова","2","Кобиринка Г. ","2-13"
"ПТ","11:40-13:00","1-309","Методи та засоби комп’ютерних технологій","1","Тригуб О. ","1-7"
"ПТ","11:40-13:00","1-307","Методи та засоби комп’ютерних технологій","5","Франчук О. ","1-7"
"ПТ","11:40-13:00","1-309","Мови програмування","1","Тригуб О. ","9"
"ПТ","11:40-13:00","1-307","Мови програмування","5","Франчук О. ","9"
"ПТ","13:30-14:50","3-220а","Українська мова","1","Голосовська Г.","2-13"
"ПТ","13:30-14:50","1-309","Методи та засоби комп’ютерних технологій","3","Тригуб О. ","1-7"
"ПТ","13:30-14:50","1-307","Методи та засоби комп’ютерних технологій","4","Франчук О. ","1-7"
"ПТ","15:00-16:20","3-220а","Українська мова","3","Вакансія ","2-13"
"ПТ","15:00-16:20","1-309","Методи та засоби комп’ютерних технологій","2","Тригуб О. ","1-7"
"ПТ","16:30-17:50","3-220а","Українська мова","4","Голосовська Г. ","2-13"
"СБ","08:30-09:50","КМЦ-4","Застосування принципів Болонського процесу в НаУКМА","0","Брюховецький В. С. ","1"
"СБ","10:00-11:20","КМЦ-4","Застосування принципів Болонського процесу в НаУКМА","0","Брюховецький В. С. ","1,3"
"СБ","11:40-13:00","КМЦ-4","Застосування принципів Болонського процесу в НаУКМА","0","Брюховецький В. С. ","1"
